"id","Наименование одежды","Краткое описание","Цена (рубли)","Материалы","Сезонность","Цвет","Стиль"
1,"Футболка классическая","Универсальная хлопковая футболка с круглым вырезом, идеально подходящая для ежедневного использования. Изготовлена из натурального хлопка, обеспечивает мягкость, воздухопроницаемость и свободу движений. Легко сочетается с джинсами, шортами и юбками, что делает её незаменимой частью базового гардероба.",1200,"Хлопок","Лето, Весна","Белый","повседневный"
2,"Джинсы скинни","Облегающие джинсы скинни, выполненные из эластичного денима, подчеркивают фигуру и создают современный стильный силуэт. Благодаря эластичности ткани и аккуратному крою, они отлично подходят для повседневной носки и активного отдыха.",3500,"Деним с эластаном","Всесезонные","Темно-синие","повседневный"
3,"Платье-миди","Элегантное платье-миди с расклешенным силуэтом, выполненное из вискозы, которое подходит как для офисных встреч, так и для вечерних мероприятий. Изделие отличается утонченным дизайном, комфортной посадкой и нежной палитрой пастельных тонов.",4800,"Вискоза","Весна, Лето","Пастельно-розовое","деловой, романтический"
4,"Рубашка офисная","Классическая офисная рубашка из хлопка с добавлением эластана для дополнительного комфорта. Имеет строгий дизайн с отложным воротником и длинными рукавами, что делает её идеальным выбором для деловых встреч и корпоративного стиля.",2700,"Хлопок, эластан","Всесезонные","Голубая","деловой"
5,"Куртка ветровка","Легкая куртка-ветровка с капюшоном и водоотталкивающей пропиткой, разработанная для защиты от ветра и дождя. Практичный дизайн и минималистичный стиль делают её отличным выбором для межсезонья.",5000,"Полиэстер","Весна, Осень","Черная","повседневный"
6,"Юбка-карандаш","Элегантная юбка-карандаш, подчеркивающая талию и создающая стройный силуэт. Изготовленная из хлопка и смесовой ткани, она подходит как для деловых встреч, так и для вечерних выходов, придавая образу утонченность.",3200,"Хлопок, смесовая ткань","Всесезонные","Темно-серая","деловой, вечерний"
7,"Кроссовки спортивные","Удобные спортивные кроссовки с резиновой подошвой, созданные для активного образа жизни. Их легкая конструкция и амортизация обеспечивают комфорт даже при длительных тренировках и повседневной носке.",4500,"Текстиль, кожа","Всесезонные","Белые","спортивный"
8,"Пальто демисезонное","Классическое демисезонное пальто из шерсти, обеспечивающее тепло и стиль в прохладную погоду. Продуманный крой и универсальный дизайн позволяют использовать его как в деловых, так и в повседневных образах.",8000,"Шерсть","Весна, Осень","Серое","деловой, повседневный"
9,"Свитшот оверсайз","Модный свитшот оверсайз с капюшоном и накладными карманами, созданный для создания расслабленного casual-образа. Из комбинации хлопка и полиэстера, он обеспечивает комфорт и тепло в прохладные дни.",2800,"Хлопок, полиэстер","Осень, Зима","Красный","повседневный"
10,"Брюки классические","Строгие классические брюки прямого кроя из качественной костюмной ткани. Идеальный выбор для офисного стиля, их лаконичный дизайн и элегантная посадка позволяют создавать безупречные деловые образы.",3600,"Костюмная ткань","Всесезонные","Темно-синие","деловой"
11,"Шорты джинсовые","Легкие джинсовые шорты с высокой посадкой, идеально подходящие для жарких летних дней. Прочный деним и свободный крой обеспечивают комфорт и стильный, расслабленный образ.",2500,"Деним","Лето","Светло-синие","повседневный"
12,"Пиджак приталенный","Элегантный приталенный пиджак, акцентирующий талию и придающий образу деловую строгость. Изготовленный из шерсти со смесовой тканью, он подходит как для офисных, так и для вечерних мероприятий.",6500,"Шерсть, смесовая ткань","Всесезонные","Черный","деловой, вечерний"
13,"Плащ дождевик","Легкий дождевик с водоотталкивающей пропиткой, созданный для защиты от дождя и ветра. Его функциональный и стильный дизайн идеально подходит для весенне-осенней погоды.",4200,"Полиэстер","Весна, Осень","Синий","повседневный"
14,"Бомбер","Современная куртка-бомбер с эластичными манжетами и поясом, обеспечивающая удобную посадку и динамичный образ. Идеальна для межсезонья, сочетая стиль и функциональность.",5500,"Нейлон, хлопок","Весна, Осень","Оливковый","повседневный"
15,"Туфли лоферы","Классические туфли-лоферы без шнуровки, выполненные из кожи и замши, с декоративными элементами. Эти модели подойдут для офисного стиля и вечерних мероприятий, добавляя элегантность образу.",4800,"Кожа, замша","Всесезонные","Коричневые","деловой, вечерний"
16,"Комбинезон джинсовый","Цельный джинсовый комбинезон, сочетающий стиль и удобство для повседневного ношения. Из денима, он идеально подходит для активного отдыха и городских прогулок.",5200,"Деним","Лето, Весна","Темно-синие","повседневный"
17,"Кардиган вязаный","Длинный вязаный кардиган, изготовленный из мягкой шерсти и акрила, который согревает в прохладную погоду. Универсальный стиль позволяет носить его как в офисе, так и в свободное время.",3400,"Шерсть, акрил","Осень, Зима","Бежевый","повседневный"
18,"Боди с кружевом","Облегающее боди с изысканными кружевными вставками, подчеркивающее фигуру и создающее элегантный вечерний образ. Идеально сочетается с юбками или брюками для создания утонченного силуэта.",2900,"Хлопок, эластан","Лето, Весна","Черное","вечерний, романтический"
19,"Кеды","Легкие повседневные кеды с резиновой подошвой, разработанные для максимального комфорта и активного образа жизни. Отличаются стильным дизайном и универсальностью, подходящей для любого случая.",3000,"Текстиль, резина","Всесезонные","Белые","повседневный, спортивный"
20,"Жилет утепленный","Утепленный жилет с синтетическим наполнителем, созданный для дополнительного тепла в холодную погоду. Практичный и стильный элемент, который можно комбинировать с куртками и пальто.",4000,"Полиэстер, синтетический наполнитель","Зима","Серый","повседневный"
21,"Платье-футляр","Стильное узкое платье-футляр, которое подчеркивает фигуру и придает образу элегантность. Высококачественные материалы и аккуратный крой делают его идеальным для офисных и вечерних мероприятий.",4500,"Эластан, полиэстер","Всесезонные","Темно-синее","деловой, вечерний"
22,"Костюм спортивный","Модный спортивный костюм, состоящий из худи и свободных брюк, обеспечивающий комфорт и свободу движений. Идеален для тренировок и активного отдыха, сочетается с любыми спортивными аксессуарами.",6000,"Хлопок, полиэстер","Всесезонные","Черное","спортивный"
23,"Блузка с рюшами","Легкая женская блузка с рюшами, выполненная из шифона и шелка, которая придает образу изысканность. Идеальна для офиса или вечерних выходов благодаря своей воздушной текстуре и утонченному дизайну.",3800,"Шифон, шелк","Весна, Лето","Кремовый","деловой, романтический"
24,"Джинсы бойфренды","Стильные джинсы бойфренды свободного кроя с заниженной талией, созданные для повседневного комфорта и модного образа. Легкая посадка и современный стиль делают их незаменимыми.",3700,"Деним","Всесезонные","Светло-синие","повседневный"
25,"Куртка кожаная","Кожаная куртка с молнией и поясом, воплощающая классический осенний стиль. Изготовленная из натуральной кожи, она гарантирует долговечность и стильный внешний вид для создания смелых образов.",12000,"Кожа","Осень, Весна","Черная","повседневный"
26,"Юбка-плиссе","Элегантная юбка-миди с плиссировкой, выполненная из полиэстера и вискозы. Ее плавные линии и утонченный крой позволяют создать как деловой, так и вечерний образ.",3300,"Полиэстер, вискоза","Весна, Лето","Темно-фиолетовая","деловой, вечерний"
